id,nume,post,iesiri_din_poarta,plonjari,goluri_primite,minute_jucate,boxari,parade,pase_gol,sanse_create,goluri,precizie_pase,suturi,suturi_blocate,precizie_suturi,centrari,pase_cheie,mingi_profunzime,pase,dueluri_aeriene_pierdute,dueluri_aeriene_castigate,degajari,deposedat,driblinguri_incercate,driblinguri_reusite,dueluri_pierdute,dueluri_castigate,faulturi,interceptii,recuperari,deposedari_incercate,deposedari_reusite,faultat,cartonase_galbene,cartonase_rosii,rating
240538,Ben Mee,fundas,0,0,0,90,0,0,0,1,0,68,0,0,0,0,1,15,53,3,3,3,0,0,0,3,5,0,0,13,2,2,1,0,0,5.4
37194,Erik Pieters,fundas,0,0,0,90,0,0,0,0,0,73,1,0,100,3,0,8,48,0,1,2,0,0,0,1,2,1,0,6,1,0,0,1,0,5.2
201734,Jeff Hendrick,mijlocas,0,0,0,84,0,0,0,0,0,73,0,0,0,3,1,2,26,1,1,2,1,1,0,4,1,1,1,3,0,0,0,1,0,6.1
46008,Jack Cork,mijlocas,0,0,0,90,0,0,0,1,0,85,0,0,0,2,1,6,40,0,1,0,1,1,1,2,5,0,2,12,1,0,2,0,0,6.7
182223,Ashley Westwood,mijlocas,0,0,0,90,0,0,0,0,0,76,1,1,0,4,0,12,51,0,0,1,0,0,0,0,4,0,0,7,3,2,1,0,0,6.7
939542,Dwight McNeil,mijlocas,0,0,0,90,0,0,0,0,1,96,2,1,50,6,2,0,23,0,1,0,4,9,6,7,7,0,0,9,0,0,0,0,0,7.6
109491,Jay Rodriguez,atacant,0,0,0,90,0,0,0,0,1,64,3,1,67,0,0,0,14,6,2,0,3,0,0,15,4,1,0,2,2,0,0,0,0,5.9
107280,Ashley Barnes,atacant,0,0,0,63,0,0,0,0,0,50,4,0,25,0,1,0,10,2,4,0,0,0,0,3,6,1,1,1,0,0,3,0,0,6.7
38807,James Milner,mijlocas,0,0,0,13,0,0,0,0,0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,6.3
319784,Alisson Becker,portar,0,1,0,90,0,3,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,6.4
760712,Trent Alexander-Arnold,fundas,0,0,0,90,0,0,0,1,0,84,2,1,50,20,7,14,83,1,0,0,0,5,0,8,2,2,2,4,2,2,0,1,0,7.8
114268,Dejan Lovren,fundas,0,0,0,90,0,0,0,0,0,82,1,0,100,0,0,9,102,3,8,5,0,0,0,4,10,1,1,11,1,0,1,1,0,7.4
209405,Virgil van Dijk,fundas,0,0,0,90,0,0,0,0,0,87,1,0,100,0,0,10,87,2,4,1,0,0,0,2,5,0,1,3,1,1,0,0,0,7.2
357880,Andrew Robertson,fundas,0,0,0,90,0,0,0,1,0,87,1,1,0,5,2,6,62,0,0,2,0,2,2,0,5,0,2,3,2,2,1,0,0,8
156008,Jordan Henderson,mijlocas,0,0,0,90,0,0,0,0,1,63,1,0,100,5,1,7,57,1,3,0,0,3,2,4,8,0,1,11,2,2,2,0,0,8.3
359188,Fabinho,mijlocas,0,0,0,90,0,0,0,0,0,87,1,1,0,1,2,7,91,2,2,0,0,1,0,4,8,1,3,11,4,3,2,0,0,7.9
108038,Georginio Wijnaldum,mijlocas,0,0,0,77,0,0,0,0,0,95,1,0,100,0,0,0,38,1,1,0,1,0,0,3,3,0,1,4,1,1,1,0,0,6.8
292462,Mohamed Salah,atacant,0,0,0,85,0,0,0,1,1,95,7,1,71,0,1,0,19,1,0,0,0,4,1,5,2,1,0,2,0,0,1,0,0,8.1
242709,Roberto Firmino,atacant,0,0,0,89,0,0,0,0,0,79,4,1,75,0,1,0,24,4,1,0,3,0,0,9,4,2,0,5,3,1,0,0,0,6.3
303339,Sadio Mané,atacant,0,0,0,90,0,0,0,0,0,87,2,0,0,3,2,1,30,1,4,0,1,2,1,4,10,1,0,3,3,2,2,0,0,7.9
603537,Angelino,mijlocas,0,0,0,17,0,0,0,0,0,100,0,0,0,0,0,0,6,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,6.5
815006,Phil Foden,mijlocas,0,0,0,14,0,0,0,0,0,94,2,0,100,2,3,1,18,0,0,0,0,2,2,0,4,0,0,0,2,1,0,0,0,7.5
37412,Sergio Agüero,atacant,0,0,0,14,0,0,0,0,0,80,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1
363364,Ederson Moraes,portar,0,4,0,90,2,5,0,0,0,0,0,0,0,0,0,9,23,0,1,2,0,0,0,0,1,0,0,9,0,0,0,0,0,8.4
361757,Joao Cancelo,fundas,0,0,0,90,0,0,0,0,0,94,1,0,100,2,0,0,51,0,0,1,0,0,0,4,5,2,1,8,3,3,2,0,0,7.4
40196,Fernandinho,fundas,0,0,0,87,0,0,0,0,0,82,3,1,33,0,0,7,66,3,6,2,0,1,1,6,8,2,1,3,1,0,0,1,0,6.4
263653,John Stones,fundas,0,0,0,90,0,0,0,0,0,92,1,0,100,0,0,4,62,0,5,5,0,0,0,0,5,0,1,4,0,0,0,0,0,7.2
280965,Benjamin Mendy,fundas,0,0,0,73,0,0,0,0,0,93,2,2,0,3,0,3,57,2,0,0,0,2,2,3,2,0,0,4,0,0,0,0,0,7.2
